cell_class,n,within_sim,between_sim,coherence
bilateral,213,0.5259756240464667,0.37491419871827136,0.15106142532819533
unclassified:visual_centrifugal,471,0.393019648654326,0.23927830567742875,0.15374134297689723
unclassified:central,21053,0.1982208097124142,0.015343772643190494,0.1828770370692237
unclassified:visual_projection,7732,0.429211157227809,0.22528736105895242,0.20392379616885659
ME.LO,149,0.8270712089091775,0.4711666061120375,0.35590460279714003
LOP>ME.LO,1056,0.8439675007661144,0.4443159688977726,0.3996515318683418
unclassified:descending,1233,0.47280750336308014,0.05209370892638037,0.42071379443669976
ME>LOP,6197,0.7841014676693229,0.3632849092329922,0.42081655843633065
ME>LOP.LO,413,0.9692898187031412,0.5390327921929513,0.43025702651018993
ME.LO.LOP,36,0.9196530975057498,0.4873863622797641,0.43226673522598563
ME>LO.LOP,5441,0.9189087407453961,0.4810228038575919,0.4378859368878042
ocellar,49,0.4869250418519073,0.026827712733984335,0.460097329117923
LO>ME,284,0.8705703376495274,0.3959267111984837,0.4746436264510437
unknown_sensory,125,0.5186312488280381,0.032849618294994797,0.48578163053304335
pars_lateralis,26,0.5392498219686646,0.04376756047011231,0.49548226149855223
MBON,95,0.5472742168496305,0.048334187422102944,0.4989400294275276
mechanosensory,2643,0.530131772370732,0.029882012757524785,0.5002497596132072
ME>LA,4659,0.9809002600773771,0.479239680700928,0.501660579376449
ME>LO,22106,0.9225984886578649,0.405235062190301,0.517363426467564
visual,2362,0.9956403610977596,0.47549830330660225,0.5201420577911573
AN,2083,0.5719901371343703,0.03772494766964706,0.5342651894647232
LA>ME,7142,0.9992963140555166,0.4648790549957104,0.5344172590598062
ALIN,23,0.5873491454593842,0.04922602075843576,0.5381231247009485
ME,18522,0.977910850765154,0.41930533583563645,0.5586055149295176
CX,2791,0.58288659437131,0.008650108183591675,0.5742364861877183
LOP>LO.ME,206,0.9300981120197799,0.3462881655260432,0.5838099464937367
LOP>LO,584,0.8908029559091146,0.26980305437665936,0.6209999015324552
LO>LOP,5894,0.860894681126788,0.2127568548436511,0.648137826283137
ALPN,662,0.7129642831023678,0.04929127888993262,0.6636730042124352
LHCENT,41,0.7294235002919278,0.06219838139277589,0.6672251188991519
pars_intercerebralis,41,0.703111915850102,0.030423163683720875,0.6726887521663811
TuBu,149,0.7158334736333448,0.02374864697297965,0.6920848266603652
mAL,74,0.7665001286311388,0.0639410627681553,0.7025590658629836
brain_motor_neuron,97,0.7603865089423008,0.05329921795795504,0.7070872909843458
gustatory,393,0.7894782318663148,0.04529051536167919,0.7441877165046357
DAN,325,0.7981791889738797,0.03675892422467931,0.7614202647492004
LO,1476,0.9907235023986897,0.223835939196362,0.7668875632023276
LOP,681,0.940885571705946,0.1297049668486605,0.8111806048572855
Kenyon_Cell,5150,0.8497341878250383,0.013564479924728158,0.8361697079003101
hygrosensory,72,0.957119390040504,0.036998729473542886,0.9201206605669611
LHLN,491,0.9524103824093861,0.026411297865697663,0.9259990845436885
thermosensory,29,0.9747632626040689,0.021993205247193982,0.9527700573568749
ALLN,405,0.9825655729012569,0.026312549243187638,0.9562530236580693
olfactory,2250,0.9880135620612728,0.008851654685161052,0.9791619073761118
