cell_class,hellinger_LR,n_left,n_right
unclassified:endocrine,0.2390796199753958,3,3
TuBu,0.21170335822619563,74,75
mAL,0.19866276891419893,38,36
ALIN,0.1973643549813221,11,12
unclassified:visual_centrifugal,0.1830603457165514,238,233
gustatory,0.18211691140912836,197,196
pars_intercerebralis,0.18009293828888193,21,20
LO>LOP,0.16132327246732964,2903,2991
LOP,0.15906134280017342,330,351
thermosensory,0.15291219509541512,13,16
mechanosensory,0.15172292642631685,1355,1288
ALON,0.15008952812031173,7,7
ocellar,0.14933747290741436,24,25
LOP>LO,0.13767468282566941,299,285
pars_lateralis,0.13078942901380014,13,13
LO.LOP,0.12601749301350154,1,1
LO,0.12212507166792222,723,753
MBON,0.10672129585716311,47,48
LOP>ME.LO,0.10407265044709803,509,547
Kenyon_Cell,0.10177786371670015,2564,2586
ME.LO.LOP,0.09910730148354974,22,14
DAN,0.09560404625736009,163,162
LHCENT,0.09102902235391977,20,21
unclassified:visual_projection,0.08448623577821487,3854,3878
LOP>LO.ME,0.08440089360004098,113,93
hygrosensory,0.08429838881115162,39,33
ALPN,0.0829211214001366,325,337
brain_motor_neuron,0.08122510250877964,47,50
bilateral,0.08105806130576453,110,103
CX,0.08053445132278232,1391,1400
LO>ME,0.07970478784927448,139,145
ALLN,0.07155989006296509,199,204
unclassified:descending,0.06979054727994449,614,612
olfactory,0.06912020665473102,1101,1120
unclassified:central,0.06500973473434697,10463,10506
ME>LO,0.06375223552580865,11236,10870
AN,0.062492735361401555,959,1124
unknown_sensory,0.06213242918128793,61,64
ME,0.06206284915897296,9287,9235
LHLN,0.06033353773323775,242,249
ME>LO.LOP,0.05814543990409934,2792,2649
ME>LOP,0.05218863294589598,3108,3089
ME>LOP.LO,0.04622068855823602,199,214
ME.LO,0.04577970209894428,76,73
ME>LA,0.03903464236324016,2233,2426
visual,0.03168260197054988,1133,1229
LA>ME,0.016293846332160026,3508,3634
