,n_neurons,syn_per_neuron,class_np_entropy_bits,median_neuron_np_entropy,top_neuropil,top_share,n_np_for_80pct,tiling_ratio
LA>ME,7142,346.0,0.003768442979781286,-0.0,ME,0.9997198723954012,1,0.003768442979781286
visual,2362,27.0,0.013707517822309438,-0.0,ME,0.9987654950772841,1,0.013707517822309438
LO,1476,1039.0,0.06129608853222082,-0.0,LO,0.994013908680137,1,0.06129608853222082
ALLN,405,776.0,0.11296097567089863,0.03042888996033499,AL,0.9888023701451951,1,0.08253208571056364
ME>LA,4659,208.0,0.1424591602719733,-0.0,ME,0.9829756602330499,1,0.1424591602719733
olfactory,2250,113.5,0.14547321349360998,-0.0,AL,0.9828693721443605,1,0.14547321349360998
thermosensory,29,895.0,0.17099057484111502,-0.0,AL,0.9772934386391251,1,0.17099057484111502
LOP,681,808.0,0.18535309978549758,-0.0,LOP,0.9763096042801539,1,0.18535309978549758
ME,18522,438.0,0.20503893167981652,-0.0,ME,0.9735000118799507,1,0.20503893167981652
hygrosensory,72,400.5,0.2549861858090181,-0.0,AL,0.958246740978651,1,0.2549861858090181
LHLN,491,738.0,0.49004313737639926,0.32438513382042844,LH,0.9062290091036013,1,0.16565800355597082
brain_motor_neuron,97,1594.0,0.7218040041735453,0.10281191666361585,GNG,0.8834218278831698,1,0.6189920875099294
LOP>LO,584,821.0,0.9172827725677829,0.9532800773224362,LOP,0.7588767789307452,2,-0.03599730475465335
ME>LO,22106,532.0,0.9949921875316725,0.9361202586312625,ME,0.6598540707828786,2,0.05887192890041004
ME.LO,149,3129.0,0.997728862029444,0.6808393002523663,ME,0.6323248023583009,2,0.3168895617770777
ME>LOP.LO,413,602.0,0.9977847693906835,0.9566953541994985,ME,0.700527245144122,2,0.04108941519118503
LO>LOP,5894,278.0,1.1188322479705861,0.95808008711828,LOP,0.5453350477035362,2,0.16075216085230615
LO>ME,284,1954.5,1.1618938480500351,0.8885329849061065,LO,0.690871553687485,2,0.2733608631439286
LOP>LO.ME,206,900.0,1.1903226855243247,1.1006008798829194,LOP,0.6943008712244321,2,0.0897218056414053
ME.LO.LOP,36,427.0,1.2347209469084515,0.9989843119427504,LO,0.4947488065469425,2,0.23573663496570108
ME>LOP,6197,260.0,1.2867512996187778,0.9656361333706098,LOP,0.5151563099203126,2,0.32111516624816794
mechanosensory,2643,92.0,1.3642767656198027,-0.0,GNG,0.6877391459227732,2,1.3642767656198027
unknown_sensory,125,391.0,1.3817878018764103,0.14962966268078134,PRW,0.5088702735613361,2,1.2321581391956289
ME>LO.LOP,5441,678.0,1.4021484407311564,1.1857295105619414,ME,0.5294192623988466,2,0.21641893016921498
gustatory,393,324.0,1.442471730246772,0.4742736986881238,GNG,0.5862711847092115,2,0.9681980315586483
LOP>ME.LO,1056,1253.5,1.5844007209105826,1.2788956003733292,ME,0.3610359772021178,3,0.3055051205372534
pars_intercerebralis,41,268.0,1.6576689028467309,1.0762976257251988,SMP,0.41032456631225517,3,0.581371277121532
pars_lateralis,26,124.0,1.7099361534353732,0.4360901295047885,SMP,0.6603992273019962,3,1.2738460239305847
bilateral,213,1640.0,1.762894052622043,0.2767390951714943,ME,0.5620151763532811,2,1.4861549574505486
ocellar,49,195.0,1.8519331932249476,0.8735417146136877,SPS,0.446701376995273,2,0.97839147861126
TuBu,149,340.0,1.955629290165882,1.030157821545684,AOTU,0.5199698331395531,3,0.9254714686201981
CX,2791,768.0,2.022784896861721,0.729207105818847,FB,0.6119726956896201,3,1.293577791042874
ALPN,662,1340.0,2.251204899380131,1.5552723642906456,AL,0.3828858724272194,3,0.6959325350894852
Kenyon_Cell,5150,356.0,2.3597455797257045,1.9518775153937804,MB_ML,0.38499984393112735,4,0.40786806433192413
mAL,74,500.5,2.5192893834904284,1.8740327631168792,SLP,0.508443265518793,4,0.6452566203735493
LHCENT,41,4027.0,2.6612552107256615,1.9677687466014495,LH,0.3366012772887807,4,0.693486464124212
ALIN,23,2123.0,2.677434555295016,1.6964145840738143,AL,0.5129717361178252,5,0.9810199712212018
unclassified:visual_projection,7732,841.0,2.7655924410361514,1.040802759926377,LO,0.4104428834169199,5,1.7247896811097745
DAN,325,530.0,2.782915032568292,1.1997914692225362,MB_ML,0.41648551805660927,5,1.5831235633457559
MBON,95,5609.0,3.0550879040130527,1.8286264083742447,MB_ML,0.3084510582198764,6,1.226461495638808
unclassified:visual_centrifugal,471,945.0,3.08557993053962,1.36239306541955,LO,0.33738146219848436,5,1.7231868651200701
AN,2083,233.0,3.1312878720790525,0.512709142030877,GNG,0.37768764790598214,7,2.6185787300481755
unclassified:descending,1233,1071.0,3.3254717209244626,1.2997275941406456,GNG,0.39330226710842187,8,2.0257441267838168
unclassified:central,21053,925.0,4.236186671321693,1.4695940496207205,AVLP,0.16443481997390322,13,2.7665926217009726
