,AL,AME,AMMC,AOTU,ATL,AVLP,BU,CAN,CRE,EB,EPA,FB,FLA,GA,GNG,GOR,IB,ICL,IPS,LAL,LH,LO,LOP,MB_CA,MB_ML,MB_PED,MB_VL,ME,NO,PB,PLP,PRW,PVLP,SAD,SCL,SIP,SLP,SMP,SPS,VES,WED
ALIN,0.5129717361178252,0.0,0.022672338779851108,0.0,1.611395791034194e-05,0.0013374585065583809,0.0,0.00016113957910341938,0.01554996938347997,0.0,0.0,0.0,0.0014341422540204325,0.0,0.10398337039543652,1.611395791034194e-05,0.0,1.611395791034194e-05,0.027168133036836507,0.0029971961713236004,0.06843597924522221,0.0,0.0,0.0014019143381997486,0.0012730026749170132,0.0,0.000789583937606755,0.0,0.0,0.0,0.0463759708659641,0.003851235940571723,0.001982016822972058,0.07567114634696574,0.007702471881143446,0.01147313803216346,0.0042863128041509555,0.008379258113377808,0.0007573560217860711,0.038512359405717234,0.04078442747107545
ALLN,0.9888023701451951,0.0,0.0,0.0,0.0,0.0,0.0,3.265480604529518e-05,0.0018900205923186,1.2864014502692042e-05,0.0,4.9476978856507855e-06,5.7393295473549115e-05,0.0,0.0008925646985714017,1.979079154260314e-06,5.937237462780943e-06,0.0,0.0,0.0035554157006286546,0.0,0.0,0.0,0.0,2.9686187313904713e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006798136894884179,0.0,2.473848942825393e-05,0.0,0.0,0.0,0.0,4.6508360125117385e-05,0.003985865416680273,3.958158308520628e-06
ALON,0.38873287379797467,0.0,0.004283323405100275,0.0,0.0,0.0,0.0,0.0,0.02850821206705812,0.0,0.0,0.00042549570249340483,0.005616543272912944,0.0,0.1619720307491561,0.0,0.0,0.0,0.0,0.09758034777182084,0.0,0.0,0.0,0.0,0.0005389612231583128,0.0,0.0,0.0,0.0,0.0,0.0,0.11664255524352538,0.0,0.01307690125663064,0.0,0.0,0.0,0.0,0.0,0.16795733696423,0.014665418545939352
ALPN,0.3828858724272194,0.0,3.0460105755144096e-05,0.0,0.0008950584921896188,0.0009085312312736249,1.7573137935660057e-06,0.0,0.005113783139277076,0.0,4.686170116176015e-06,1.7573137935660055e-05,9.31376310589983e-05,6.912100921359623e-05,0.0029909480766493416,4.686170116176015e-06,0.00013707047589814843,0.0005887001208446118,0.004832027161041993,0.0018328782866893437,0.30897208272730414,0.0,0.0,0.19281364097259118,1.5230052877572048e-05,0.0005640977277346878,0.00019974800120200264,0.0,0.0,7.029255174264023e-06,0.0294484787813146,0.00036024932768103117,0.003478895539996169,0.0009190751140350209,0.018581836053166944,0.005096795772605938,0.023777041398212576,0.0053141169117436006,0.0002149780540795747,0.003802827049276836,0.006027586311931399
AN,0.0005025811837546615,7.038952153426632e-07,0.007312063496979586,8.446742584111959e-06,0.0006250589512242849,0.20928775658740337,3.660255119781849e-05,0.00199554293549645,0.001659784917778,4.223371292055979e-06,0.0026762096087328056,0.00015767252823675656,0.026405221213149324,6.335056938083969e-05,0.37768764790598214,0.00177874320917091,0.005720556415089824,0.005278510219854631,0.04901503942517101,0.014974666811199817,0.0076175540204383016,0.00020061013637265903,9.854533014797286e-05,9.009858756386089e-05,0.00011473492010085411,1.900517081425191e-05,3.167528469041984e-05,7.602068325700763e-05,2.2524646890965223e-05,0.00011051154880879813,0.01766354653380879,0.015291419658104016,0.04531395838289929,0.05150471680183801,0.007618961810868987,0.002800799061848457,0.0069087315385882395,0.011440408934964305,0.03682357429543608,0.045290025945577635,0.04577219416808736
CX,8.698371413721191e-05,0.0,0.0,6.003101398201949e-05,0.0007776466556140177,0.0003047492801638234,0.0030974165530620566,0.0,0.0410633575284864,0.167492654623506,0.000179480480578895,0.6119726956896201,5.513052304471177e-06,0.005565426301363654,1.8376841014903925e-06,9.494701191033694e-06,0.0002872912811996647,0.0008468660901034892,0.0013050619927417603,0.026458975693258672,0.00012067458933120244,0.0,0.0,0.00014119539513117847,0.007747982452567076,7.320108337603396e-05,0.0002502313184862751,0.0,0.0575930197407089,0.03305534277555843,0.00029004780735190027,0.0,0.00013598862351028905,3.3690875193990527e-06,0.000418379413772646,0.0035709264898794143,0.004817795152740645,0.027766487931469085,0.0007157779575305078,0.003121919007748595,0.0006621788379037048
DAN,8.524640473288039e-05,0.0,0.0,0.0006677635037408964,0.0026312723594215746,0.0,0.0001790174499390488,0.0,0.13085891435862027,0.00565183663378997,0.0,0.001986241230276113,5.3989389664157584e-05,0.0003551933530536683,0.0,0.00013639424757260862,0.0009803336544281244,0.0027420926855743193,5.683093648858693e-06,0.0033757576274220636,0.030410234115042865,0.0,0.0,0.012517013761611271,0.41648551805660927,0.0815864924230154,0.11377837639697545,0.0,1.7049280946576078e-05,0.00010229568567945647,0.005933149769408475,0.0,0.0018612131700012219,0.0,0.010547821812281734,0.03218904242713563,0.03625813747971846,0.10673986491286397,0.0010115906694968472,0.0008524640473288039,0.0
Kenyon_Cell,0.0,0.0,0.0,0.000726527510636901,2.098857252951047e-05,0.0,0.0,0.0,0.04760800235072012,0.0033318013469281877,0.0,0.0,0.0,0.0005510845710312493,0.0,0.0,0.0,0.0032360073492293966,0.0,1.5068718739135723e-05,5.5969526745361256e-05,3.0137437478271446e-05,0.0,0.22302295719299908,0.38499984393112735,0.1489144602654032,0.154026523097655,0.0,0.0,1.0763370527954087e-06,0.007404660754706015,0.0,0.003817767526265315,0.0,0.010845172143966538,0.0064095871493966596,0.0032699119663924517,0.0017124522509974953,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA>ME,0.0,0.00027092633291495944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.201271683904283e-06,0.0,0.0,0.0,0.0,0.0,0.9997198723954012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
