,synapses,effective_n_classes,dominant_class,dominant_share,unclassified_share,group
NO,190756.0,1.087676002863172,CX,0.9857619157457694,0.01356182767514521,CX central complex
EB,557512.0,1.1245159624850303,CX,0.9808936847996097,0.0009883195339293145,CX central complex
FB,2040527.0,1.1298682448737019,CX,0.9791970407644692,0.013650395216529847,CX central complex
PB,117764.0,1.4427601996764554,CX,0.9164515471621208,0.08127271492136816,CX central complex
AVLP,6178906.0,1.545031704243406,unclassified:central,0.9029104828589397,0.9507763995762357,VLNP ventrolateral
SMP,3205466.0,1.673337056753838,unclassified:central,0.9039568661779598,0.9198338088752149,SNP superior
ATL,152176.0,1.6751808047847037,unclassified:central,0.9007465040479445,0.9587122805172958,INP inferior
ICL,1572567.0,1.700789503699052,unclassified:central,0.8808235197610023,0.9858587901183226,INP inferior
SLP,2439888.0,1.7752866235906524,unclassified:central,0.8936250352475196,0.9114209340756625,SNP superior
GOR,331664.0,1.827992131589446,unclassified:central,0.828495103478219,0.9912019393120749,VMNP ventromedial
SCL,1322965.0,1.860017341971973,unclassified:central,0.8719678903069998,0.9378691046248389,INP inferior
WED,1083080.0,1.9966154661609943,unclassified:central,0.8357775972227351,0.9149222587435831,VLNP ventrolateral
SIP,845932.0,2.0807082310180527,unclassified:central,0.8548642207647896,0.8738622016899703,SNP superior
EPA,243466.0,2.165511231819901,unclassified:central,0.784417536740243,0.9817428306211133,VMNP ventromedial
LAL,1800624.0,2.1955863685968042,unclassified:central,0.8216018446938395,0.9143230346813104,LX lateral complex
IB,593268.0,2.202581805833045,unclassified:central,0.7964848938422433,0.9801000559612182,INP inferior
MB_PED,361168.0,2.3866859554662367,Kenyon_Cell,0.7661420723873654,0.022609976520621983,MB mushroom body
FLA,471276.0,2.390569061660995,unclassified:central,0.7696551489997369,0.8811821522844362,PENP periesophageal
PVLP,3786798.0,2.434948395250829,unclassified:central,0.6489741464952712,0.9772066004048803,VLNP ventrolateral
AMMC,318241.0,2.4631636446723415,unclassified:central,0.7114293884194682,0.8006699325354054,PENP periesophageal
AOTU,816636.0,2.504427755639446,unclassified:central,0.5047328307838499,0.9532411012984978,VLNP ventrolateral
CAN,51130.0,2.505761811707018,unclassified:central,0.6921963622139644,0.9354195188734598,PENP periesophageal
PRW,680812.0,2.519275279908771,unclassified:central,0.7777697807911729,0.806995176348243,PENP periesophageal
IPS,1797746.0,2.622143242884063,unclassified:central,0.7390415553698909,0.9345641709117973,VMNP ventromedial
VES,1177428.0,2.6952711740497484,unclassified:central,0.7284165146403857,0.9117559629973129,VMNP ventromedial
PLP,2961240.0,2.705702382608211,unclassified:central,0.6721724682903109,0.9593048857910875,VLNP ventrolateral
SAD,1211114.0,2.772080532061576,unclassified:central,0.7011949329295177,0.8502337517360049,PENP periesophageal
SPS,2495260.0,2.825816577770742,unclassified:central,0.6930528281621955,0.9667449484222085,VMNP ventromedial
GA,32974.0,3.0741890181761042,CX,0.5510705404257901,0.3523685327834051,LX lateral complex
CRE,1454510.0,3.2261261185251016,unclassified:central,0.6938192243435933,0.7050656234745721,INP inferior
MB_ML,1173844.0,3.301908476848222,Kenyon_Cell,0.6094412886209752,0.05586091507900539,MB mushroom body
MB_VL,482886.0,3.3738413069337376,Kenyon_Cell,0.5926968269943631,0.09176285914273763,MB mushroom body
LH,2384046.0,3.4011359496133915,unclassified:central,0.5523131684539644,0.5641548023821688,LH lateral horn
BU,25794.0,3.401795920525855,CX,0.39206792277273783,0.3503915639295961,LX lateral complex
MB_CA,918946.0,3.5314334019485223,Kenyon_Cell,0.450963386314321,0.14037930411580224,MB mushroom body
AL,2098490.0,3.662264518430728,ALLN,0.47617810902124863,0.016531410681013492,AL antennal lobe
GNG,5505688.0,3.7516685334939823,unclassified:central,0.5651882198918645,0.7755087102647298,PENP periesophageal
ME,31488638.0,5.699374328060204,ME,0.4176788465731671,0.04733475611107727,OL optic lobe
AME,60042.0,6.696116347339739,ME,0.3646614036840878,0.2105026481462976,OL optic lobe
LO,14474794.0,7.40787696485638,ME>LO,0.2893529261970844,0.2871671265235277,OL optic lobe
LOP,5731820.0,9.284518238656783,unclassified:visual_projection,0.1849981332281893,0.21372565781898245,OL optic lobe
