,acetylcholine,dopamine,gaba,glutamate,octopamine,serotonin,unknown
AL,0.706450828929373,0.0005589733570329141,0.14529018484719966,0.08924035854352415,0.00032261292643758133,0.05813036993266587,6.671463766803749e-06
AME,0.47423470237500415,0.000516305252989574,0.30900036641017953,0.2072049565304287,0.0016655008160954,0.007378168615302621,0.0
AMMC,0.44926957871550177,0.0009018322591997889,0.4346800066616181,0.10524413887588337,0.000424206811818716,0.008565835326057925,0.0009144013499203434
AOTU,0.6589680102273229,0.005614496544360033,0.1968282074265646,0.1372643380894303,0.0001885785098869019,0.0011363692024353568,0.0
ATL,0.4953409210387972,0.04477710019976869,0.10668567973924929,0.3380230785406372,0.001557407212701083,0.013615813268846599,0.0
AVLP,0.6602694716508067,0.01178380121011713,0.21909234417872678,0.09543226584123468,0.0011817625968092087,0.012240354522305406,0.0
BU,0.6156858184073816,0.01899666589129255,0.2069085833914864,0.14863921842288905,0.0018608978832286578,0.007908816003721796,0.0
CAN,0.4737531781732838,0.007138666145120281,0.34394680226872676,0.12634461177390965,0.047232544494425974,0.001251711324075885,0.00033248582045765693
CRE,0.5238671442616414,0.0452324150401166,0.16061972760586038,0.2575499652804037,0.0012746560697417,0.011453341675203333,2.7500670328839267e-06
EB,0.31377799939732237,0.01033340986382356,0.54862137496592,0.044996340885936084,0.07568985062204939,0.0065810242649485574,0.0
EPA,0.5724413265096564,0.0052450855560940745,0.22342750117059465,0.18145038732307592,0.004624875752671831,0.012810823687907142,0.0
FB,0.5482799296456259,0.03338059236657981,0.033825575451831805,0.3492999602553654,0.0009090788801128336,0.03430290312257569,1.960277908599102e-06
FLA,0.4990599988117366,0.013187601320669842,0.23322851153039834,0.20729890764647468,0.006972559604138551,0.04025242108658196,0.0
GA,0.5568023291077819,0.028234366470552556,0.18939164189967853,0.20188633468793596,0.014920846727724875,0.008764481106326197,0.0
GNG,0.5362000171459044,0.00713298683107361,0.31506071539106467,0.12661977939905059,0.0009272229011160822,0.014024768566616923,3.450976517376212e-05
GOR,0.6355649090645955,0.0073357373727627965,0.2104207873028125,0.13908353031984177,0.0033497756765883545,0.004242245163780211,3.015099618891408e-06
IB,0.48403251144508047,0.011313605318338424,0.2022374373807453,0.295299931902614,0.0028907677474598326,0.004163379787886756,6.236641787522671e-05
ICL,0.60129902255357,0.006718314704556309,0.1555068877828417,0.22936828764688563,0.001945227134996474,0.005162260177149844,0.0
IPS,0.5256443346279174,0.003986658849470392,0.2577444199569906,0.20693524001722158,0.002462528076825091,0.0031250243360296725,0.00010179413554528838
LAL,0.5209682865495517,0.013031593492033873,0.24071044260212016,0.20630459218582003,0.006329472449550822,0.012655612720923413,0.0
LH,0.5286022165679689,0.007615624866298721,0.22394198769654614,0.23854195766356856,0.0003598923846268067,0.0009383208209908701,0.0
LO,0.656819917437167,0.000962362573173753,0.1782345227158328,0.16314132000773207,0.0007229118424759621,0.00011896542361846393,0.0
LOP,0.5647722712855603,0.00015126085606317015,0.11963599694337924,0.31526600625979184,0.00014969067416632065,2.459951638397577e-05,1.744646552055019e-07
MB_CA,0.868343732928812,0.006126584151843525,0.07656162603678562,0.045876471522809825,0.00043310488320314795,0.002658480476545956,0.0
MB_ML,0.6669131502993584,0.12607978572961995,0.08635985701677565,0.11593704103782104,0.0019218908134300639,0.0027857193971260238,2.5557058689229572e-06
MB_PED,0.7966735701944802,0.07992956186594605,0.08777078810968857,0.03462100739821911,0.0006589731094670625,0.0003460993221990874,0.0
MB_VL,0.7933218192285549,0.08419999751494142,0.05424675803398732,0.06613776336443798,0.0002443640942168545,0.0018472268817070695,2.0708821543801228e-06
ME,0.5480419318231547,0.0002951540806560131,0.24761363130409134,0.2029183986935224,0.0006864380733139362,0.000439587129808536,4.858895453020229e-06
NO,0.6907410513955,0.01294847868481201,0.07451928117595252,0.21211914697309653,0.0008230409528402776,0.008749397135607791,9.960368219086162e-05
PB,0.5791922828708264,0.055339492544410854,0.01622736999422574,0.3314000883122177,0.008491559389966373,0.009162392581773716,0.0001868143065792602
PLP,0.5832164903891613,0.007841647417973552,0.23282003485026542,0.17255541597438911,0.0009384582134511218,0.0026269400656481743,1.0130891113182316e-06
PRW,0.49651004976410523,0.008908479874032772,0.23099622215824633,0.20355986674735463,0.005699076984541988,0.054326304471719065,0.0
PVLP,0.6597127705253885,0.0037715241214345205,0.22863273932224534,0.10087678297073148,0.002096230113145724,0.004909952947054477,0.0
SAD,0.4615395412818281,0.0028230207891247233,0.39442199495670927,0.13166886023941593,0.002452287728487987,0.006912644061582972,0.00018165094285096202
SCL,0.5553366869115963,0.012624672610386517,0.13907095047865967,0.285055160189423,0.0020242410041081964,0.005888288805826307,0.0
SIP,0.5507180246166359,0.023585820136843152,0.12472279095719278,0.2900422256162434,0.0011502106552299712,0.009780928017854863,0.0
SLP,0.5412023010892303,0.010749263900638063,0.11614672476769425,0.32327918330677474,0.0009938980805676326,0.007628628855094988,0.0
SMP,0.5165866678978969,0.026549961846421083,0.08266473579816476,0.35652975261631226,0.0010965644308815006,0.016541744632449697,3.0572777873794327e-05
SPS,0.5537194520811458,0.004969822783998461,0.20326378814231782,0.23031988650481314,0.004356259467951235,0.003355161385987833,1.5629633785657608e-05
VES,0.5397943653454819,0.009851982456676756,0.2937487472694721,0.1480888852651712,0.003928053350183621,0.004587966313014469,0.0
WED,0.533730657015179,0.0061509768438157844,0.3650090482697492,0.08987701739483694,0.0021549654688480997,0.0030339402444879418,4.3394763083059426e-05
