cluster,n,top_neuropils,top_nt,hemilineage_purity,n_cell_types
2,2370,"AVLP:0.76, PVLP:0.04, ICL:0.01",{'acetylcholine': 0.74},0.19,784
17,1757,"SMP:0.71, SCL:0.03, SLP:0.02",{'acetylcholine': 0.52},0.1,660
15,1515,"LH:0.46, SLP:0.46, SIP:0.00",{'acetylcholine': 0.74},0.11,467
12,1339,"ICL:0.34, SCL:0.11, PLP:0.05",{'acetylcholine': 0.59},0.14,513
11,1311,"SLP:0.85, LH:0.02, SIP:0.01",{'glutamate': 0.56},0.12,442
19,1278,"PVLP:0.45, AVLP:0.25, PLP:0.06",{'acetylcholine': 0.57},0.11,439
7,1203,"CRE:0.33, SMP:0.25, SIP:0.10",{'acetylcholine': 0.55},0.16,427
3,1134,"IPS:0.53, SPS:0.08, GNG:0.06",{'acetylcholine': 0.5},0.13,415
5,1101,"GNG:0.82, PRW:0.02, SAD:0.01",{'acetylcholine': 0.45},0.51,498
4,1061,"SPS:0.50, IB:0.06, IPS:0.05",{'acetylcholine': 0.46},0.18,385
8,913,"SLP:0.36, SMP:0.34, SIP:0.08",{'acetylcholine': 0.53},0.1,351
14,909,"PLP:0.47, IPS:0.08, WED:0.04",{'acetylcholine': 0.55},0.12,357
0,909,"SLP:0.26, SCL:0.26, PLP:0.10",{'acetylcholine': 0.57},0.21,391
6,870,"LAL:0.50, CRE:0.10, VES:0.02",{'acetylcholine': 0.49},0.26,321
10,856,"SAD:0.32, WED:0.14, AMMC:0.11",{'gaba': 0.55},0.2,277
9,625,"LH:0.56, PLP:0.06, SCL:0.03",{'acetylcholine': 0.51},0.12,243
1,615,"SMP:0.54, FLA:0.23, PRW:0.05",{'acetylcholine': 0.73},0.25,173
16,517,"VES:0.33, SPS:0.07, GNG:0.03",{'acetylcholine': 0.46},0.36,235
18,399,"PRW:0.57, FLA:0.13, GNG:0.10",{'acetylcholine': 0.48},0.24,157
13,371,"AOTU:0.33, SIP:0.11, SMP:0.04",{'acetylcholine': 0.55},0.19,126
